model_name,slice_id,family,prompt_family,operation_type,composition_depth,component_ids,n_metrics,n_underperforming_metrics,n_outperforming_metrics,n_zero_metrics,underperforming_metric_rate,outperforming_metric_rate,mean_residual,median_residual,mean_residual_z,median_residual_z,max_abs_residual_z,verdict,underperforming_metrics,outperforming_metrics
EleutherAI/pythia-1b,comp_add_then_even,arithmetic,arithmetic,add_then_parity,2,arith_add_small;arith_even,5,4,1,0,0.8,0.2,-0.06426061493809294,-0.1303565834527043,-1.0259779242813418,-1.3791219191086774,1.6252217151009192,consistent_underperforming_observational,accuracy;mean_correct_margin;mean_correct_mrr;mean_logprob_correct,mean_logprob_margin
EleutherAI/pythia-1b,comp_first_then_same,string,string,first_then_same,2,word_first;word_same,5,4,1,0,0.8,0.2,-0.023547893006839217,-0.0913619053026474,-0.5328887726872552,-0.8073165950919156,1.290714927073368,consistent_underperforming_observational,accuracy;mean_correct_margin;mean_correct_mrr;mean_logprob_correct,mean_logprob_margin
EleutherAI/pythia-1b,comp_reverse_then_same,string,string,reverse_then_same,2,word_reverse2;word_same,5,4,1,0,0.8,0.2,-0.024769051459309455,-0.1446281478145137,-0.1836795961951423,0.20919890370409733,1.7629901439463445,consistent_underperforming_observational,accuracy;mean_correct_margin;mean_correct_mrr;mean_logprob_correct,mean_logprob_margin
EleutherAI/pythia-1b,comp_reverse_then_first,string,string,reverse_then_first,2,word_reverse2;word_first,5,4,1,0,0.8,0.2,0.01582702164793274,-0.0228142896170178,0.33362411545117787,0.5030481502588467,1.1921335331402534,consistent_underperforming_observational,accuracy;mean_correct_margin;mean_correct_mrr;mean_logprob_correct,mean_logprob_margin
EleutherAI/pythia-1b,comp_add_then_compare,arithmetic,arithmetic,add_then_compare,2,arith_add_small;arith_compare,5,3,2,0,0.6,0.4,-0.009323473972626362,-0.0846137380708291,-0.37847193005948065,-1.042512365455531,1.4053433042897172,consistent_underperforming_observational,accuracy;mean_correct_margin;mean_correct_mrr,mean_logprob_correct;mean_logprob_margin
EleutherAI/pythia-1b,comp_sub_then_compare,arithmetic,arithmetic,sub_then_compare,2,arith_sub_small;arith_compare,5,3,2,0,0.6,0.4,-0.016080233393974727,-0.1084943688318755,-0.3544842112478519,-0.9199474453058285,1.3619089019452166,consistent_underperforming_observational,accuracy;mean_correct_margin;mean_correct_mrr,mean_logprob_correct;mean_logprob_margin
EleutherAI/pythia-1b,comp_reverse_then_last,string,string,reverse_then_last,2,word_reverse2;word_last,5,3,2,0,0.6,0.4,0.030925139809094414,-0.0601008651290329,0.2968157696371942,0.1593394102568048,0.8644526439953066,consistent_underperforming_observational,accuracy;mean_correct_margin;mean_correct_mrr,mean_logprob_correct;mean_logprob_margin
EleutherAI/pythia-1b,comp_retrieve_then_color,retrieval,retrieval,retrieve_then_color,2,retrieval_object;semantic_color_lookup,5,3,2,0,0.6,0.4,-0.0123698394138293,-0.0467185975404591,0.08189638137790109,0.37925036710670623,1.662693783999148,consistent_underperforming_observational,accuracy;mean_correct_margin;mean_correct_mrr,mean_logprob_correct;mean_logprob_margin
EleutherAI/pythia-1b,comp_max_then_compare,arithmetic,arithmetic,max_then_compare,2,arith_max2;arith_compare,5,3,2,0,0.6,0.4,0.07285749761971601,-0.0299667112479387,0.5796995224235058,0.5196717221951652,0.9905283288188378,consistent_underperforming_observational,accuracy;mean_correct_margin;mean_correct_mrr,mean_logprob_correct;mean_logprob_margin
EleutherAI/pythia-1b,comp_retrieve_then_compare,retrieval,retrieval,retrieve_then_compare,2,retrieval_number;arith_compare,5,2,3,0,0.4,0.6,0.10173728705694081,0.0428393184913862,1.1834666455812932,1.4778163504136066,1.932572000468509,consistent_outperforming_observational,accuracy;mean_correct_mrr,mean_correct_margin;mean_logprob_correct;mean_logprob_margin
