model_name,slice_id,metric,initial_metric,final_metric,delta_metric,auc_metric,max_metric,min_metric,n_checkpoints,kind,family,prompt_family,operation_type,composition_depth,frequency_proxy,reference_learnability,formal_utility,answer_entropy_proxy,component_ids,control_type,continuous_status
EleutherAI/pythia-1b,arith_add_small,accuracy,0.21875,0.171875,-0.046875,0.18359375,0.21875,0.171875,4,atomic,arithmetic,arithmetic,addition,1,0.9,0.2,0.8,1.0,,,weak_or_uninformative
EleutherAI/pythia-1b,arith_compare,accuracy,0.25,0.296875,0.046875,0.28515625,0.296875,0.25,4,atomic,arithmetic,arithmetic,comparison,1,0.85,0.2,0.8,1.0,,,weak_or_uninformative
EleutherAI/pythia-1b,arith_even,accuracy,0.265625,0.1875,-0.078125,0.20703125,0.265625,0.1875,4,atomic,arithmetic,arithmetic,parity,1,0.65,0.4,0.5,1.0,,,weak_or_uninformative
EleutherAI/pythia-1b,arith_max2,accuracy,0.328125,0.140625,-0.1875,0.1875,0.328125,0.140625,4,atomic,arithmetic,arithmetic,max,1,0.55,0.45,0.4,1.0,,,usable_or_near_usable
EleutherAI/pythia-1b,arith_min2,accuracy,0.296875,0.265625,-0.03125,0.2734375,0.296875,0.265625,4,atomic,arithmetic,arithmetic,min,1,0.55,0.45,0.4,1.0,,,weak_or_uninformative
EleutherAI/pythia-1b,arith_sub_small,accuracy,0.296875,0.234375,-0.0625,0.25,0.296875,0.234375,4,atomic,arithmetic,arithmetic,subtraction,1,0.75,0.35,0.5,1.0,,,weak_or_uninformative
EleutherAI/pythia-1b,comp_add_then_compare,accuracy,0.203125,0.203125,0.0,0.203125,0.203125,0.203125,4,composite,arithmetic,arithmetic,add_then_compare,2,0.4,0.55,0.0,1.0,arith_add_small;arith_compare,,weak_or_uninformative
EleutherAI/pythia-1b,comp_add_then_even,accuracy,0.328125,0.203125,-0.125,0.234375,0.328125,0.203125,4,composite,arithmetic,arithmetic,add_then_parity,2,0.35,0.6,0.0,1.0,arith_add_small;arith_even,,usable_or_near_usable
EleutherAI/pythia-1b,comp_first_then_same,accuracy,0.234375,0.25,0.015625,0.24609375,0.25,0.234375,4,composite,string,string,first_then_same,2,0.35,0.55,0.0,1.0,word_first;word_same,,weak_or_uninformative
EleutherAI/pythia-1b,comp_max_then_compare,accuracy,0.234375,0.28125,0.046875,0.26953125,0.28125,0.234375,4,composite,arithmetic,arithmetic,max_then_compare,2,0.3,0.7,0.0,1.0,arith_max2;arith_compare,,weak_or_uninformative
EleutherAI/pythia-1b,comp_retrieve_then_color,accuracy,0.25,0.265625,0.015625,0.25390625,0.265625,0.25,4,composite,retrieval,retrieval,retrieve_then_color,2,0.35,0.65,0.0,1.0,retrieval_object;semantic_color_lookup,,weak_or_uninformative
EleutherAI/pythia-1b,comp_retrieve_then_compare,accuracy,0.171875,0.28125,0.109375,0.25390625,0.28125,0.171875,4,composite,retrieval,retrieval,retrieve_then_compare,2,0.3,0.8,0.0,1.0,retrieval_number;arith_compare,,weak_or_uninformative
EleutherAI/pythia-1b,comp_reverse_then_first,accuracy,0.15625,0.3125,0.15625,0.26953125,0.3125,0.15625,4,composite,string,string,reverse_then_first,2,0.3,0.65,0.0,1.0,word_reverse2;word_first,,usable_or_near_usable
