condition,seed,task_name,kind,acquired_at,threshold,patience,metric,final_metric,final_accuracy,final_balanced_accuracy,metric_family,analysis_threshold,max_data_seen,censored_acquired_at,is_censored
baseline,0,A00_copy,atomic,71424.0,0.5,2,token_accuracy,0.779296875,0.01171875,0.01171875,token_accuracy,0.5,250112,71424.0,False
baseline,0,A01_reverse,atomic,11776.0,0.5,2,token_accuracy,0.9951171875,0.970703125,0.970703125,token_accuracy,0.5,250112,11776.0,False
baseline,0,A02_substitute,atomic,,0.5,2,token_accuracy,0.0263671875,0.0,0.0,token_accuracy,0.5,250112,250112.0,True
baseline,0,A03_copy,atomic,71424.0,0.5,2,token_accuracy,0.7822265625,0.017578125,0.017578125,token_accuracy,0.5,250112,71424.0,False
baseline,0,A04_reverse,atomic,11776.0,0.5,2,token_accuracy,0.9944661855697632,0.966796875,0.966796875,token_accuracy,0.5,250112,11776.0,False
baseline,0,A05_substitute,atomic,,0.5,2,token_accuracy,0.0279947929084301,0.0,0.0,token_accuracy,0.5,250112,250112.0,True
baseline,0,A06_copy,atomic,71424.0,0.5,2,token_accuracy,0.7760416865348816,0.017578125,0.017578125,token_accuracy,0.5,250112,71424.0,False
baseline,0,A07_reverse,atomic,11776.0,0.5,2,token_accuracy,0.994140625,0.966796875,0.966796875,token_accuracy,0.5,250112,11776.0,False
baseline,0,C00_reverse_then_substitute_02_05,composite,,0.5,2,token_accuracy,0.0416666679084301,0.0,0.0,token_accuracy,0.5,250112,250112.0,True
baseline,0,C01_substitute_then_reverse_01_03,composite,11776.0,0.5,2,token_accuracy,0.9925130605697632,0.955078125,0.955078125,token_accuracy,0.5,250112,11776.0,False
baseline,0,C02_copy_then_substitute_04_07,composite,71424.0,0.5,2,token_accuracy,0.7789713740348816,0.01953125,0.01953125,token_accuracy,0.5,250112,71424.0,False
baseline,0,C03_reverse_then_substitute_06_01,composite,11776.0,0.5,2,token_accuracy,0.9951171875,0.97265625,0.97265625,token_accuracy,0.5,250112,11776.0,False
baseline,0,C04_substitute_then_reverse_03_07,composite,11776.0,0.5,2,token_accuracy,0.9921875,0.955078125,0.955078125,token_accuracy,0.5,250112,11776.0,False
baseline,0,C05_copy_then_substitute_07_06,composite,11776.0,0.5,2,token_accuracy,0.9934896230697632,0.9609375,0.9609375,token_accuracy,0.5,250112,11776.0,False
baseline,0,C06_reverse_then_substitute_01_05,composite,,0.5,2,token_accuracy,0.439453125,0.0,0.0,token_accuracy,0.5,250112,250112.0,True
baseline,0,C07_substitute_then_reverse_07_03,composite,11776.0,0.5,2,token_accuracy,0.9954427480697632,0.97265625,0.97265625,token_accuracy,0.5,250112,11776.0,False
baseline,0,K00_shortcut_for_A07_reverse,shortcut,71424.0,0.5,2,token_accuracy,0.771484375,0.009765625,0.009765625,token_accuracy,0.5,250112,71424.0,False
baseline,0,K01_shortcut_for_A03_copy,shortcut,71424.0,0.5,2,token_accuracy,0.7783203125,0.009765625,0.009765625,token_accuracy,0.5,250112,71424.0,False
baseline,0,K02_shortcut_for_A00_copy,shortcut,71424.0,0.5,2,token_accuracy,0.7750651240348816,0.01171875,0.01171875,token_accuracy,0.5,250112,71424.0,False
baseline,0,S00_surface_rotate,surface_control,,0.5,2,token_accuracy,0.3675130307674408,0.0,0.0,token_accuracy,0.5,250112,250112.0,True
baseline,0,S01_surface_rotate,surface_control,,0.5,2,token_accuracy,0.3746744990348816,0.0,0.0,token_accuracy,0.5,250112,250112.0,True
baseline,0,S02_surface_rotate,surface_control,,0.5,2,token_accuracy,0.0904947966337204,0.001953125,0.001953125,token_accuracy,0.5,250112,250112.0,True
baseline,0,U00_unrelated_substitute,unrelated,,0.5,2,token_accuracy,0.4977213740348816,0.0,0.0,token_accuracy,0.5,250112,250112.0,True
baseline,0,U01_unrelated_substitute,unrelated,,0.5,2,token_accuracy,0.013997396454215,0.0,0.0,token_accuracy,0.5,250112,250112.0,True
baseline,0,U02_unrelated_substitute,unrelated,,0.5,2,token_accuracy,0.501953125,0.0,0.0,token_accuracy,0.5,250112,250112.0,True
baseline,1,A00_copy,atomic,71424.0,0.5,2,token_accuracy,0.7633463740348816,0.01953125,0.01953125,token_accuracy,0.5,250112,71424.0,False
baseline,1,A01_reverse,atomic,12544.0,0.5,2,token_accuracy,0.9908854365348816,0.9453125,0.9453125,token_accuracy,0.5,250112,12544.0,False
baseline,1,A02_substitute,atomic,,0.5,2,token_accuracy,0.0348307304084301,0.0,0.0,token_accuracy,0.5,250112,250112.0,True
baseline,1,A03_copy,atomic,71424.0,0.5,2,token_accuracy,0.7506510615348816,0.013671875,0.013671875,token_accuracy,0.5,250112,71424.0,False
baseline,1,A04_reverse,atomic,12544.0,0.5,2,token_accuracy,0.9899088740348816,0.939453125,0.939453125,token_accuracy,0.5,250112,12544.0,False
baseline,1,A05_substitute,atomic,,0.5,2,token_accuracy,0.0481770858168602,0.0,0.0,token_accuracy,0.5,250112,250112.0,True
baseline,1,A06_copy,atomic,71424.0,0.5,2,token_accuracy,0.7552083730697632,0.009765625,0.009765625,token_accuracy,0.5,250112,71424.0,False
baseline,1,A07_reverse,atomic,12544.0,0.5,2,token_accuracy,0.9931640625,0.958984375,0.958984375,token_accuracy,0.5,250112,12544.0,False
baseline,1,C00_reverse_then_substitute_02_05,composite,,0.5,2,token_accuracy,0.03515625,0.0,0.0,token_accuracy,0.5,250112,250112.0,True
baseline,1,C01_substitute_then_reverse_01_03,composite,12544.0,0.5,2,token_accuracy,0.994140625,0.96484375,0.96484375,token_accuracy,0.5,250112,12544.0,False
