model_name,slice_id,metric,initial_metric,final_metric,delta_metric,auc_metric,max_metric,min_metric,n_checkpoints,kind,family,prompt_family,operation_type,composition_depth,frequency_proxy,reference_learnability,formal_utility,answer_entropy_proxy,component_ids,control_type,continuous_status
EleutherAI/pythia-1b,arith_add_small,accuracy,0.1875,0.0625,-0.125,0.10416666666666667,0.1875,0.0625,3,atomic,arithmetic,arithmetic,addition,1,0.9,0.2,0.8,1.0,,,weak_or_uninformative
EleutherAI/pythia-1b,arith_compare,accuracy,0.1875,0.5,0.3125,0.3958333333333333,0.5,0.1875,3,atomic,arithmetic,arithmetic,comparison,1,0.85,0.2,0.8,1.0,,,usable_or_near_usable
EleutherAI/pythia-1b,arith_even,accuracy,0.25,0.1875,-0.0625,0.20833333333333334,0.25,0.1875,3,atomic,arithmetic,arithmetic,parity,1,0.65,0.4,0.5,1.0,,,weak_or_uninformative
EleutherAI/pythia-1b,arith_max2,accuracy,0.25,0.25,0.0,0.25,0.25,0.25,3,atomic,arithmetic,arithmetic,max,1,0.55,0.45,0.4,1.0,,,weak_or_uninformative
EleutherAI/pythia-1b,arith_min2,accuracy,0.4375,0.25,-0.1875,0.3125,0.4375,0.25,3,atomic,arithmetic,arithmetic,min,1,0.55,0.45,0.4,1.0,,,usable_or_near_usable
EleutherAI/pythia-1b,arith_sub_small,accuracy,0.3125,0.1875,-0.125,0.22916666666666666,0.3125,0.1875,3,atomic,arithmetic,arithmetic,subtraction,1,0.75,0.35,0.5,1.0,,,usable_or_near_usable
EleutherAI/pythia-1b,comp_add_then_compare,accuracy,0.25,0.125,-0.125,0.16666666666666666,0.25,0.125,3,composite,arithmetic,arithmetic,add_then_compare,2,0.4,0.55,0.0,1.0,arith_add_small;arith_compare,,weak_or_uninformative
EleutherAI/pythia-1b,comp_add_then_even,accuracy,0.4375,0.125,-0.3125,0.22916666666666666,0.4375,0.125,3,composite,arithmetic,arithmetic,add_then_parity,2,0.35,0.6,0.0,1.0,arith_add_small;arith_even,,usable_or_near_usable
EleutherAI/pythia-1b,comp_first_then_same,accuracy,0.1875,0.375,0.1875,0.3125,0.375,0.1875,3,composite,string,string,first_then_same,2,0.35,0.55,0.0,1.0,word_first;word_same,,usable_or_near_usable
EleutherAI/pythia-1b,comp_max_then_compare,accuracy,0.25,0.1875,-0.0625,0.20833333333333334,0.25,0.1875,3,composite,arithmetic,arithmetic,max_then_compare,2,0.3,0.7,0.0,1.0,arith_max2;arith_compare,,weak_or_uninformative
EleutherAI/pythia-1b,comp_retrieve_then_color,accuracy,0.3125,0.1875,-0.125,0.22916666666666666,0.3125,0.1875,3,composite,retrieval,retrieval,retrieve_then_color,2,0.35,0.65,0.0,1.0,retrieval_object;semantic_color_lookup,,usable_or_near_usable
EleutherAI/pythia-1b,comp_retrieve_then_compare,accuracy,0.25,0.3125,0.0625,0.2916666666666667,0.3125,0.25,3,composite,retrieval,retrieval,retrieve_then_compare,2,0.3,0.8,0.0,1.0,retrieval_number;arith_compare,,usable_or_near_usable
EleutherAI/pythia-1b,comp_reverse_then_first,accuracy,0.125,0.375,0.25,0.2916666666666667,0.375,0.125,3,composite,string,string,reverse_then_first,2,0.3,0.65,0.0,1.0,word_reverse2;word_first,,usable_or_near_usable
EleutherAI/pythia-1b,comp_reverse_then_last,accuracy,0.1875,0.1875,0.0,0.1875,0.1875,0.1875,3,composite,string,string,reverse_then_last,2,0.3,0.65,0.0,1.0,word_reverse2;word_last,,weak_or_uninformative
EleutherAI/pythia-1b,comp_reverse_then_same,accuracy,0.3125,0.3125,0.0,0.3125,0.3125,0.3125,3,composite,string,string,reverse_then_same,2,0.25,0.75,0.0,1.0,word_reverse2;word_same,,usable_or_near_usable
EleutherAI/pythia-1b,comp_sub_then_compare,accuracy,0.25,0.25,0.0,0.25,0.25,0.25,3,composite,arithmetic,arithmetic,sub_then_compare,2,0.35,0.65,0.0,1.0,arith_sub_small;arith_compare,,weak_or_uninformative
EleutherAI/pythia-1b,ctrl_number_surface,accuracy,0.125,0.0625,-0.0625,0.08333333333333333,0.125,0.0625,3,surface_control,surface,surface,number_surface,1,0.5,0.3,0.0,1.0,,surface,weak_or_uninformative
EleutherAI/pythia-1b,ctrl_retrieval_surface,accuracy,0.375,0.1875,-0.1875,0.25,0.375,0.1875,3,surface_control,surface,surface,retrieval_surface,1,0.45,0.35,0.0,1.0,,surface,usable_or_near_usable
EleutherAI/pythia-1b,ctrl_word_surface,accuracy,0.1875,0.25,0.0625,0.22916666666666666,0.25,0.1875,3,surface_control,surface,surface,word_surface,1,0.5,0.3,0.0,1.0,,surface,weak_or_uninformative
EleutherAI/pythia-1b,retrieval_number,accuracy,0.375,0.25,-0.125,0.2916666666666667,0.375,0.25,3,atomic,retrieval,retrieval,retrieve_number,1,0.55,0.55,0.8,1.0,,,usable_or_near_usable
EleutherAI/pythia-1b,retrieval_object,accuracy,0.25,0.3125,0.0625,0.2916666666666667,0.3125,0.25,3,atomic,retrieval,retrieval,retrieve_object,1,0.6,0.5,0.8,1.0,,,usable_or_near_usable
EleutherAI/pythia-1b,semantic_animal_class,accuracy,0.0,0.375,0.375,0.25,0.375,0.0,3,atomic,semantic,semantic,category,1,0.75,0.2,0.3,1.0,,,usable_or_near_usable
EleutherAI/pythia-1b,semantic_color_lookup,accuracy,0.3125,0.25,-0.0625,0.2708333333333333,0.3125,0.25,3,atomic,semantic,semantic,color_lookup,1,0.7,0.25,0.4,1.0,,,usable_or_near_usable
EleutherAI/pythia-1b,syntax_is_are,accuracy,0.25,0.25,0.0,0.25,0.25,0.25,3,atomic,syntax,syntax,agreement,1,0.75,0.35,0.4,1.0,,,weak_or_uninformative
EleutherAI/pythia-1b,word_copy,accuracy,0.3125,0.3125,0.0,0.3125,0.3125,0.3125,3,atomic,string,string,copy,1,0.8,0.25,0.8,1.0,,,usable_or_near_usable
EleutherAI/pythia-1b,word_first,accuracy,0.25,0.25,0.0,0.25,0.25,0.25,3,atomic,string,string,first,1,0.75,0.3,0.6,1.0,,,weak_or_uninformative
