condition,seed,data_seen,task_name,kind,grad_mean_norm,grad_noise_rms,grad_snr,within_task_grad_alignment
baseline,0,0,A_bit0,atomic,0.13858628273010254,0.05878328159451485,2.3575798929312692,0.7996016453503483
baseline,0,0,B_bit1,atomic,0.13007639348506927,0.08402130752801895,1.5481357921042112,0.6647499448548339
baseline,0,0,C_xor23,atomic,0.04134773090481758,0.04350728169083595,0.9503634632401406,0.30272413731453557
baseline,0,0,D_eq45,atomic,0.05859293416142464,0.06769590079784393,0.8655314940786673,0.2587334139545992
baseline,0,0,AB_and,composite,0.47176477313041687,0.03994112089276314,11.811505600587278,0.991418633754634
baseline,0,0,AC_xor,composite,0.040357548743486404,0.060740817338228226,0.6644222206970913,0.059316939921429224
baseline,0,0,A_shortcut_bit6,shortcut,0.13688872754573822,0.04987379163503647,2.7447026395087404,0.849841920793256
baseline,0,0,surface_control_78,surface_control,0.03562924265861511,0.12219756096601486,0.29157081677131524,-0.16368483234715722
baseline,0,0,U_unrelated_xor910,unrelated,0.061182789504528046,0.06764664500951767,0.9044467688680697,0.30320147202770625
baseline,0,5120,A_bit0,atomic,0.4411749839782715,0.12649162113666534,3.487780297306214,0.8988492107204425
baseline,0,5120,B_bit1,atomic,0.4409489333629608,0.11667012423276901,3.779450277085867,0.9129120506980334
baseline,0,5120,C_xor23,atomic,0.3332224488258362,0.1884676218032837,1.7680620450120326,0.6785534843003657
baseline,0,5120,D_eq45,atomic,0.3596506416797638,0.3226452171802521,1.1146938573018526,0.4181918812494405
baseline,0,5120,AB_and,composite,0.38388529419898987,0.14547094702720642,2.6389138315333547,0.8426277235098887
baseline,0,5120,AC_xor,composite,0.46815216541290283,0.1682182252407074,2.7830050206523693,0.8704846359136139
baseline,0,5120,A_shortcut_bit6,shortcut,0.4014783501625061,0.20224297046661377,1.9851288241773375,0.7381018032159247
baseline,0,5120,surface_control_78,surface_control,0.4438975155353546,0.2000543773174286,2.218884292788047,0.7747922616365587
baseline,0,5120,U_unrelated_xor910,unrelated,0.4385177195072174,0.2542398273944855,1.7248191363231085,0.6435402272772901
baseline,0,10112,A_bit0,atomic,0.40455299615859985,0.10565125197172165,3.829135846521273,0.9172777742180455
baseline,0,10112,B_bit1,atomic,0.49006909132003784,0.13191291689872742,3.715095555748798,0.9137445923241013
baseline,0,10112,C_xor23,atomic,0.6142511963844299,0.253790944814682,2.4203038324733592,0.8683945434835637
baseline,0,10112,D_eq45,atomic,0.23613658547401428,0.2683051526546478,0.8801045493788194,0.1867534329230864
baseline,0,10112,AB_and,composite,0.35986992716789246,0.10199104994535446,3.5284461465704866,0.9067619998316987
baseline,0,10112,AC_xor,composite,0.3728359043598175,0.23640191555023193,1.5771272558873077,0.6970754258650137
baseline,0,10112,A_shortcut_bit6,shortcut,0.50175541639328,0.24197053909301758,2.0736219304711434,0.7623334166312872
baseline,0,10112,surface_control_78,surface_control,0.3504319489002228,0.2048671394586563,1.7105327375805526,0.67184201480845
baseline,0,10112,U_unrelated_xor910,unrelated,0.34247899055480957,0.20545978844165802,1.6668906025394472,0.6639849719290797
baseline,0,15104,A_bit0,atomic,0.08242833614349365,0.02450227178633213,3.3641099429037338,0.8935314374678028
baseline,0,15104,B_bit1,atomic,0.16391237080097198,0.03731229156255722,4.392985901757495,0.9375734923084734
baseline,0,15104,C_xor23,atomic,0.27705028653144836,0.37704548239707947,0.7347927490586997,0.17326017445214403
baseline,0,15104,D_eq45,atomic,0.2581271231174469,0.319489449262619,0.807936298717832,0.19371684660007218
baseline,0,15104,AB_and,composite,0.15908662974834442,0.07176633179187775,2.216730683790258,0.7908968419455352
baseline,0,15104,AC_xor,composite,0.2638463079929352,0.30987703800201416,0.851454853490528,0.22558898378506156
baseline,0,15104,A_shortcut_bit6,shortcut,0.5542360544204712,0.20180396735668182,2.74640811911359,0.8464450991470353
baseline,0,15104,surface_control_78,surface_control,1.1580896377563477,0.3610623776912689,3.2074503169183135,0.8930640570081839
baseline,0,15104,U_unrelated_xor910,unrelated,0.29110512137413025,0.32361525297164917,0.899540793272601,0.26965250090535386
baseline,0,20096,A_bit0,atomic,0.030110009014606476,0.0134409936144948,2.2401624370906332,0.7793937822787051
baseline,0,20096,B_bit1,atomic,0.0557711087167263,0.019761642441153526,2.822189951062015,0.8522560441980137
baseline,0,20096,C_xor23,atomic,0.9297135472297668,0.4366520345211029,2.1291863399819007,0.7846553893939566
baseline,0,20096,D_eq45,atomic,1.2009086608886719,0.3785240054130554,3.1726089857234707,0.894394770428718
baseline,0,20096,AB_and,composite,0.06328085064888,0.05530403554439545,1.1442356787315624,0.4914983292059385
baseline,0,20096,AC_xor,composite,0.28097692131996155,0.40679869055747986,0.6907026198491889,0.10708219505194476
baseline,0,20096,A_shortcut_bit6,shortcut,0.3460052013397217,0.11509481072425842,3.0062623949716287,0.902206153388822
baseline,0,20096,surface_control_78,surface_control,0.5244634747505188,0.4884119927883148,1.0738136706171248,0.4157054093519757
