source_run_dir,source_model_name,model_name,metric,group,n,mean_final,mean_delta,mean_auc,rho_frequency_proxy_final,rho_frequency_proxy_delta,rho_frequency_proxy_auc,rho_reference_learnability_final,rho_reference_learnability_delta,rho_reference_learnability_auc,rho_formal_utility_final,rho_formal_utility_delta,rho_formal_utility_auc,rho_composition_depth_final,rho_composition_depth_delta,rho_composition_depth_auc,rho_answer_entropy_proxy_final,rho_answer_entropy_proxy_delta,rho_answer_entropy_proxy_auc
results/pythia_model_sweep_v30/pythia-70m_n64,EleutherAI/pythia-70m,EleutherAI/pythia-70m,accuracy,all,29,0.2435344827586207,-0.0096982758620689,0.2438038793103448,-0.2615729299527479,-0.1285271555687039,-0.2408201115302946,0.1949489922866384,0.0759289650982231,0.1966022107746174,-0.1137681835489334,-0.0254420178275562,-0.1092626582715553,0.2614565028596529,0.0783492736824183,0.2302667331544448,,,
results/pythia_model_sweep_v30/pythia-70m_n64,EleutherAI/pythia-70m,EleutherAI/pythia-70m,accuracy,atomic,16,0.2314453125,-0.0185546875,0.236083984375,0.1741867411934406,0.1096989273986097,0.1856495459621477,-0.2034297530399573,-0.2125294415206813,-0.1292754846032306,0.3529617248107587,0.2042555350352532,0.3029563561463207,,,,,,
results/pythia_model_sweep_v30/pythia-70m_n64,EleutherAI/pythia-70m,EleutherAI/pythia-70m,accuracy,composite,10,0.2625,0.0046875,0.255078125,-0.7252655751047242,-0.4976037353857526,-0.6152206645202093,0.6343251037002147,0.6690394128579379,0.4191511259329935,,,,,,,,,
results/pythia_model_sweep_v30/pythia-70m_n64,EleutherAI/pythia-70m,EleutherAI/pythia-70m,accuracy,true_atomic_composite,26,0.243389423076923,-0.0096153846153846,0.243389423076923,-0.2673941384592903,-0.1121497745771004,-0.2515561647496455,0.2547463499720719,0.0987228402330793,0.2582595242071629,-0.1035354483313593,0.0044627348418689,-0.0909360355400597,0.2860758260292924,0.0847632077123829,0.2587840602484131,,,
results/pythia_model_sweep_v30/pythia-70m_n64,EleutherAI/pythia-70m,EleutherAI/pythia-70m,mean_correct_margin,all,29,-0.8214245524000505,-0.2170164336546741,-1.0207101767400986,-0.2661917133510283,-0.1988390193682565,-0.421449577789256,0.3990644283941236,0.3119238087944142,0.4827392278961173,-0.1286571272666611,-0.0959080403260564,-0.2380806637904275,0.4508971841525423,0.3555150875048892,0.5983058789716427,,,
results/pythia_model_sweep_v30/pythia-70m_n64,EleutherAI/pythia-70m,EleutherAI/pythia-70m,mean_correct_margin,atomic,16,-0.8647830521222204,-0.2450742998626083,-1.078151341236662,-0.0642837276447704,-0.1046479287240449,0.1420221889826324,0.0860568224020051,0.0548983177392101,-0.0623170093255899,0.1222264662704281,0.0259731240824659,0.3819577070950881,,,,,,
results/pythia_model_sweep_v30/pythia-70m_n64,EleutherAI/pythia-70m,EleutherAI/pythia-70m,mean_correct_margin,composite,10,-0.6220203433185816,-0.032175375893712,-0.8873707191552966,0.1616270459588089,0.1099063912519901,-0.2456731098573896,-0.0125466465334973,0.0501865861339893,0.307392840070685,,,,,,,,,
results/pythia_model_sweep_v30/pythia-70m_n64,EleutherAI/pythia-70m,EleutherAI/pythia-70m,mean_correct_margin,true_atomic_composite,26,-0.7714127795054362,-0.1631900983361097,-1.0047741788976754,-0.331275879484933,-0.2634366401309498,-0.458345317665744,0.3485611657103392,0.2565272815621905,0.4735624113443918,-0.2994194401427468,-0.2557319061717411,-0.355183203016307,0.4110960958218893,0.3056868404829433,0.5797509043642028,,,
results/pythia_model_sweep_v30/pythia-70m_n64,EleutherAI/pythia-70m,EleutherAI/pythia-70m,mean_correct_mrr,all,29,0.5181393678160919,-0.0061961206896551,0.5190822557471264,-0.2917325236562967,-0.1393035182993776,-0.3916595807830503,0.2215922190381511,0.0838089007200158,0.3572710302481028,-0.1368612548741435,-0.039771646715563,-0.1798822191318277,0.2948537039069397,0.0997299292626413,0.394583633169581,,,
results/pythia_model_sweep_v30/pythia-70m_n64,EleutherAI/pythia-70m,EleutherAI/pythia-70m,mean_correct_mrr,atomic,16,0.5074055989583333,-0.0152994791666666,0.5126546223958333,0.1615756536554714,0.0493340235413354,0.0284044377965264,-0.1722403387076617,-0.1365039251893874,-0.0118699065382076,0.4044087228654022,0.2413972708840956,0.4109864928343147,,,,,,
results/pythia_model_sweep_v30/pythia-70m_n64,EleutherAI/pythia-70m,EleutherAI/pythia-70m,mean_correct_mrr,composite,10,0.5350260416666666,0.0084635416666666,0.5297526041666667,-0.6206478564818264,-0.4784160560380746,-0.6917637567037023,0.4893192148063965,0.5269591544068886,0.539505800940386,,,,,,,,,
results/pythia_model_sweep_v30/pythia-70m_n64,EleutherAI/pythia-70m,EleutherAI/pythia-70m,mean_correct_mrr,true_atomic_composite,26,0.5180288461538461,-0.0061598557692307,0.5192307692307692,-0.2920685852029168,-0.1315461392549318,-0.4117547094458573,0.2816443611429387,0.1109214349994478,0.400828011529036,-0.1262892184183166,-0.0223765417900273,-0.2076400792278652,0.3268245637733432,0.1159501808728405,0.4164377506144212,,,
results/pythia_model_sweep_v30/pythia-70m_n64,EleutherAI/pythia-70m,EleutherAI/pythia-70m,mean_logprob_correct,all,29,-4.674434847037854,6.328728931538504,-6.03761633589928,-0.0482859387008842,-0.0215429572665483,0.0574478860441289,0.1106586845484945,0.0321826151930744,0.044808102691896,-0.1491902849516434,-0.2191069864359501,0.0265111656185847,0.1560797945143416,0.2081063926857888,-0.0346843987809648,,,
results/pythia_model_sweep_v30/pythia-70m_n64,EleutherAI/pythia-70m,EleutherAI/pythia-70m,mean_logprob_correct,atomic,16,-4.680717557435855,6.311005021678284,-6.033315500244498,0.2974991116583563,0.5576239630581251,0.2048109462170593,-0.1661786915349065,-0.5371132708538943,0.0326422429800709,-0.0168061391121838,-0.2001458385178261,0.1252821279271888,,,,,,
