condition,seed,task_name,realized_sample_count
base,4,A00_copy,2902
base,4,A01_reverse,7874
base,4,A02_substitute,2256
base,4,A03_copy,2601
base,4,A04_reverse,3083
base,4,A05_substitute,4827
base,4,A06_copy,69917
base,4,A07_reverse,16309
base,4,C00_reverse_then_substitute_04_03,3992
base,4,C01_substitute_then_reverse_04_06,8963
base,4,C02_copy_then_substitute_06_04,5665
base,4,C03_reverse_then_substitute_07_02,5186
base,4,C04_substitute_then_reverse_03_06,13105
base,4,C05_copy_then_substitute_06_07,10754
base,4,C06_reverse_then_substitute_05_07,33879
base,4,C07_substitute_then_reverse_01_04,6239
base,4,K00_shortcut_for_A02_substitute,4442
base,4,K01_shortcut_for_A05_substitute,3831
base,4,K02_shortcut_for_A03_copy,6906
base,4,S00_surface_rotate,22069
base,4,S01_surface_rotate,3316
base,4,S02_surface_rotate,3608
base,4,U00_unrelated_substitute,2518
base,4,U01_unrelated_substitute,3172
base,4,U02_unrelated_substitute,2698
