condition,component_id,composite_id,mean_residual_log_time,positive_residual_rate,acquisition_rate,mean_observed_time,mean_predicted_time,composite_op,frequency,reference_learnability,formal_utility,component,composite,residual_log_time,positive_rate,h3_ready,h3_readiness_score,mean_final_metric,acq_rate_t0p5,max_residual_log_time
lr_high,A01_reverse,C06_reverse_then_substitute_01_05,4.959513520275044,1.0,0.2,240691.2,1682.1495912097078,reverse_then_substitute,0.0516770010672922,3.0,0.0,A01_reverse,C06_reverse_then_substitute_01_05,4.959513520275044,,True,7.295147231460764,0.4008626416946451,0.3333333333333333,4.959513520275044
lr_high,A05_substitute,C06_reverse_then_substitute_01_05,4.959513520275044,1.0,0.2,240691.2,1682.1495912097078,reverse_then_substitute,0.0516770010672922,3.0,0.0,A05_substitute,C06_reverse_then_substitute_01_05,4.959513520275044,,True,7.295147231460764,0.4008626416946451,0.3333333333333333,4.959513520275044
base,A01_reverse,C06_reverse_then_substitute_01_05,4.913165671498475,1.0,0.0,250112.0,1837.1270475187616,reverse_then_substitute,0.0516770010672922,3.0,0.0,A01_reverse,C06_reverse_then_substitute_01_05,4.913165671498475,,True,7.295147231460764,0.4008626416946451,0.3333333333333333,4.959513520275044
base,A05_substitute,C06_reverse_then_substitute_01_05,4.913165671498475,1.0,0.0,250112.0,1837.1270475187616,reverse_then_substitute,0.0516770010672922,3.0,0.0,A05_substitute,C06_reverse_then_substitute_01_05,4.913165671498475,,True,7.295147231460764,0.4008626416946451,0.3333333333333333,4.959513520275044
lr_high,A02_substitute,C00_reverse_then_substitute_02_05,5.001246020816369,1.0,0.0,250112.0,1682.1495912097078,reverse_then_substitute,0.015236661713767,3.0,0.0,A02_substitute,C00_reverse_then_substitute_02_05,5.001246020816369,,False,5.001246020816369,0.03973524410588046,0.0,5.001246020816369
lr_high,A05_substitute,C00_reverse_then_substitute_02_05,5.001246020816369,1.0,0.0,250112.0,1682.1495912097078,reverse_then_substitute,0.015236661713767,3.0,0.0,A05_substitute,C00_reverse_then_substitute_02_05,5.001246020816369,,False,5.001246020816369,0.03973524410588046,0.0,5.001246020816369
batch_small,A02_substitute,C00_reverse_then_substitute_02_05,4.921372247392212,1.0,0.0,250112.0,1822.10404641418,reverse_then_substitute,0.015236661713767,3.0,0.0,A02_substitute,C00_reverse_then_substitute_02_05,4.921372247392212,,False,5.001246020816369,0.03973524410588046,0.0,5.001246020816369
batch_small,A05_substitute,C00_reverse_then_substitute_02_05,4.921372247392212,1.0,0.0,250112.0,1822.10404641418,reverse_then_substitute,0.015236661713767,3.0,0.0,A05_substitute,C00_reverse_then_substitute_02_05,4.921372247392212,,False,5.001246020816369,0.03973524410588046,0.0,5.001246020816369
base,A02_substitute,C00_reverse_then_substitute_02_05,4.913165671498475,1.0,0.0,250112.0,1837.1270475187616,reverse_then_substitute,0.015236661713767,3.0,0.0,A02_substitute,C00_reverse_then_substitute_02_05,4.913165671498475,,False,5.001246020816369,0.03973524410588046,0.0,5.001246020816369
base,A05_substitute,C00_reverse_then_substitute_02_05,4.913165671498475,1.0,0.0,250112.0,1837.1270475187616,reverse_then_substitute,0.015236661713767,3.0,0.0,A05_substitute,C00_reverse_then_substitute_02_05,4.913165671498475,,False,5.001246020816369,0.03973524410588046,0.0,5.001246020816369
