model_name,slice_id,metric,initial_metric,final_metric,delta_metric,auc_metric,max_metric,min_metric,n_checkpoints,kind,family,prompt_family,operation_type,composition_depth,frequency_proxy,reference_learnability,formal_utility,answer_entropy_proxy,component_ids,control_type,continuous_status
EleutherAI/pythia-1.4b,arith_add_small,accuracy,0.25,0.125,-0.125,0.14583333333333334,0.25,0.0625,3,atomic,arithmetic,arithmetic,addition,1,0.9,0.2,0.8,1.0,,,weak_or_uninformative
EleutherAI/pythia-1.4b,arith_compare,accuracy,0.125,0.4375,0.3125,0.3541666666666667,0.5,0.125,3,atomic,arithmetic,arithmetic,comparison,1,0.85,0.2,0.8,1.0,,,usable_or_near_usable
EleutherAI/pythia-1.4b,arith_even,accuracy,0.25,0.25,0.0,0.22916666666666666,0.25,0.1875,3,atomic,arithmetic,arithmetic,parity,1,0.65,0.4,0.5,1.0,,,weak_or_uninformative
EleutherAI/pythia-1.4b,arith_max2,accuracy,0.25,0.25,0.0,0.25,0.25,0.25,3,atomic,arithmetic,arithmetic,max,1,0.55,0.45,0.4,1.0,,,weak_or_uninformative
EleutherAI/pythia-1.4b,arith_min2,accuracy,0.4375,0.3125,-0.125,0.3333333333333333,0.4375,0.25,3,atomic,arithmetic,arithmetic,min,1,0.55,0.45,0.4,1.0,,,usable_or_near_usable
EleutherAI/pythia-1.4b,arith_sub_small,accuracy,0.3125,0.1875,-0.125,0.22916666666666666,0.3125,0.1875,3,atomic,arithmetic,arithmetic,subtraction,1,0.75,0.35,0.5,1.0,,,usable_or_near_usable
EleutherAI/pythia-1.4b,comp_add_then_compare,accuracy,0.3125,0.125,-0.1875,0.1875,0.3125,0.125,3,composite,arithmetic,arithmetic,add_then_compare,2,0.4,0.55,0.0,1.0,arith_add_small;arith_compare,,usable_or_near_usable
EleutherAI/pythia-1.4b,comp_add_then_even,accuracy,0.1875,0.125,-0.0625,0.14583333333333334,0.1875,0.125,3,composite,arithmetic,arithmetic,add_then_parity,2,0.35,0.6,0.0,1.0,arith_add_small;arith_even,,weak_or_uninformative
EleutherAI/pythia-1.4b,comp_first_then_same,accuracy,0.25,0.375,0.125,0.3333333333333333,0.375,0.25,3,composite,string,string,first_then_same,2,0.35,0.55,0.0,1.0,word_first;word_same,,usable_or_near_usable
EleutherAI/pythia-1.4b,comp_max_then_compare,accuracy,0.1875,0.25,0.0625,0.20833333333333334,0.25,0.1875,3,composite,arithmetic,arithmetic,max_then_compare,2,0.3,0.7,0.0,1.0,arith_max2;arith_compare,,weak_or_uninformative
