condition,seed,data_seen,task_name,kind,grad_mean_norm,grad_noise_rms,grad_snr,within_task_grad_alignment
baseline,0,0,A00_not_bit_26,atomic,0.1045457050204277,0.091979019343853,1.1366255670595808,0.502615713044065
baseline,0,0,A01_xor2_40_1,atomic,0.09702089428901672,0.10749038308858871,0.9026006932001897,0.1127521205563121
baseline,0,0,A02_bit_1,atomic,0.14130686223506927,0.07277766615152359,1.9416239858382625,0.7377341407707861
baseline,0,0,A03_and_bits_23_25,atomic,0.5282608270645142,0.07262703776359558,7.273611086504096,0.9846562163727236
baseline,0,0,A04_not_bit_0,atomic,0.0994107723236084,0.1320287138223648,0.7529481235165673,0.2625701811152566
baseline,0,0,A05_and_bits_5_25,atomic,0.5081876516342163,0.11971332132816315,4.245038446781591,0.9823771194957676
baseline,0,0,A06_and_bits_18_35,atomic,0.5353717803955078,0.08571512997150421,6.245942584083404,0.9822165181760777
baseline,0,0,A07_and_bits_46_18,atomic,0.5004152059555054,0.10618317127227783,4.712754384285755,0.9763637777517035
baseline,0,0,A08_not_bit_40,atomic,0.11284394562244415,0.07571103423833847,1.490455740780409,0.5916405368271546
baseline,0,0,A09_xor2_42_32,atomic,0.04060477018356323,0.09511799365282059,0.4268884216728037,-0.10354960448031487
baseline,0,0,A10_xor2_25_39,atomic,0.03609545901417732,0.10179515182971954,0.3545891760562658,-0.10085814275699863
baseline,0,0,A11_xor2_14_34,atomic,0.036528315395116806,0.08780720829963684,0.41600588496163216,-0.12893052774884747
baseline,0,0,C00_or_04_01,composite,0.529772162437439,0.10695082694292068,4.9534181041463405,0.9817904907167452
baseline,0,0,C01_or_09_02,composite,0.5382304787635803,0.0641939789056778,8.384438664349418,0.983833841582438
baseline,0,0,C02_and_05_09,composite,0.7749668955802917,0.07385031878948212,10.49375152704378,0.9932760404289316
baseline,0,0,C03_and_04_05,composite,0.6472079753875732,0.1147889792919159,5.638241400649123,0.9877064773085804
baseline,0,0,C04_or_09_04,composite,0.5696840286254883,0.11040808260440826,5.159803659135211,0.9818581911454266
baseline,0,0,C05_or_04_07,composite,0.33512914180755615,0.07817183434963226,4.287082995959472,0.9574475900677305
baseline,0,0,C06_and_05_09,composite,0.712224006652832,0.08444958180189133,8.433718574417467,0.9909253074929256
baseline,0,0,C07_and_09_00,composite,0.43929368257522583,0.09073282033205032,4.841618291625051,0.9752734256625589
baseline,0,0,K00_shortcut_for_10_bit39,shortcut,0.11171463131904602,0.08184755593538284,1.3649110231938724,0.5517950183085144
baseline,0,0,K01_shortcut_for_09_bit45,shortcut,0.09651005268096924,0.09382253885269165,1.0286446504231626,0.3819360549102713
baseline,0,0,K02_shortcut_for_07_bit11,shortcut,0.14613358676433563,0.09295866638422012,1.5720275736181386,0.5895659378243409
baseline,0,0,K03_shortcut_for_07_bit23,shortcut,0.09686523675918579,0.10169502347707748,0.952507147806177,0.3094769129522
baseline,0,0,S00_surface_xor_12_45,surface_control,0.051317498087882996,0.07993334531784058,0.642003632941749,0.03942440258735497
baseline,0,0,S01_surface_xor_25_7,surface_control,0.043972257524728775,0.10979095846414566,0.40050891384364995,-0.13015376806592743
baseline,0,0,S02_surface_xor_35_38,surface_control,0.07952602952718735,0.10346892476081848,0.7685982019263584,0.054663948852506035
baseline,0,0,S03_surface_xor_28_44,surface_control,0.03645717352628708,0.07622190564870834,0.478303096931644,-0.05806006856730219
baseline,0,0,U00_xor2_35_7,unrelated,0.056895118206739426,0.09332099556922913,0.6096711448381704,-0.010157258536363192
baseline,0,0,U01_eq2_3_23,unrelated,0.03649246320128441,0.06455322355031967,0.56530814719536,-0.01072458270585125
baseline,0,0,U02_and_bits_10_16,unrelated,0.42898526787757874,0.12398768216371536,3.4599023095510377,0.9614349676619226
baseline,0,0,U03_xor2_36_26,unrelated,0.03498103842139244,0.10327740758657455,0.33870949357176794,-0.19047070881541703
baseline,0,20480,A00_not_bit_26,atomic,0.4617118835449219,0.27601125836372375,1.6728009077615655,0.6889602104173198
baseline,0,20480,A01_xor2_40_1,atomic,0.48202958703041077,0.2058868259191513,2.341235700128552,0.8291478348601805
baseline,0,20480,A02_bit_1,atomic,0.34891703724861145,0.24312210083007812,1.4351514570493116,0.5928964532893807
baseline,0,20480,A03_and_bits_23_25,atomic,0.7531681060791016,0.2021333873271942,3.7260945162721626,0.9209084103205679
baseline,0,20480,A04_not_bit_0,atomic,0.36941519379615784,0.24655725061893463,1.4982937750454048,0.5986768803751003
baseline,0,20480,A05_and_bits_5_25,atomic,0.5851726531982422,0.21684549748897552,2.6985695343999194,0.8691091624931974
baseline,0,20480,A06_and_bits_18_35,atomic,0.44350066781044006,0.32615238428115845,1.359795878195274,0.5495522942698438
baseline,0,20480,A07_and_bits_46_18,atomic,0.45714735984802246,0.3890239894390106,1.175113546355004,0.4481105425684488
baseline,0,20480,A08_not_bit_40,atomic,0.38275983929634094,0.2477538138628006,1.54492006935061,0.6363121502727646
baseline,0,20480,A09_xor2_42_32,atomic,0.18391594290733337,0.177093043923378,1.038527199215509,0.350863896030778
baseline,0,20480,A10_xor2_25_39,atomic,0.16036200523376465,0.2552396059036255,0.6282802571544739,0.08252198646684268
baseline,0,20480,A11_xor2_14_34,atomic,0.25046712160110474,0.1890207976102829,1.3250770537757695,0.5373460277541275
baseline,0,20480,C00_or_04_01,composite,0.33564382791519165,0.15655335783958435,2.1439580252055155,0.7822968212250281
baseline,0,20480,C01_or_09_02,composite,0.5155755281448364,0.18180294334888458,2.835903086302611,0.8957061273022261
baseline,0,20480,C02_and_05_09,composite,0.7508518099784851,0.22550883889198303,3.3295892687151283,0.9363123210796714
baseline,0,20480,C03_and_04_05,composite,0.8580541014671326,0.18871423602104187,4.546843521476099,0.9651187893930052
baseline,0,20480,C04_or_09_04,composite,0.38991615176200867,0.24040856957435608,1.6218895709530414,0.6833043219972689
baseline,0,20480,C05_or_04_07,composite,0.26821330189704895,0.21360713243484497,1.255638324612613,0.4857273099127249
baseline,0,20480,C06_and_05_09,composite,0.6597743630409241,0.21202105283737183,3.1118341985778373,0.9140102109826364
baseline,0,20480,C07_and_09_00,composite,0.5286496877670288,0.22839082777500153,2.314671271674323,0.8071717475002553
baseline,0,20480,K00_shortcut_for_10_bit39,shortcut,0.2941771447658539,0.23408736288547516,1.256698102530722,0.48445282531405826
baseline,0,20480,K01_shortcut_for_09_bit45,shortcut,0.48321425914764404,0.19993968307971954,2.4168001654406996,0.8446116512206329
