condition,seed,data_seen,task_i,task_j,linear_cka
baseline,0,100352,A00_not_bit_26,A00_not_bit_26,1.0
baseline,0,100352,A00_not_bit_26,A01_xor2_40_1,0.2631593346595764
baseline,0,100352,A00_not_bit_26,A02_bit_1,0.22237594425678253
baseline,0,100352,A00_not_bit_26,A03_and_bits_23_25,0.1655183732509613
baseline,0,100352,A00_not_bit_26,A04_not_bit_0,0.051313940435647964
baseline,0,100352,A00_not_bit_26,A05_and_bits_5_25,0.15863998234272003
baseline,0,100352,A00_not_bit_26,A06_and_bits_18_35,0.07491069287061691
baseline,0,100352,A00_not_bit_26,A07_and_bits_46_18,0.1859130859375
baseline,0,100352,A00_not_bit_26,A08_not_bit_40,0.15077731013298035
baseline,0,100352,A00_not_bit_26,A09_xor2_42_32,0.29928120970726013
baseline,0,100352,A00_not_bit_26,A10_xor2_25_39,0.23240576684474945
baseline,0,100352,A00_not_bit_26,A11_xor2_14_34,0.2974274754524231
baseline,0,100352,A00_not_bit_26,C00_or_04_01,0.13341909646987915
baseline,0,100352,A00_not_bit_26,C01_or_09_02,0.2571236193180084
baseline,0,100352,A00_not_bit_26,C02_and_05_09,0.17271214723587036
baseline,0,100352,A00_not_bit_26,C03_and_04_05,0.11735894531011581
baseline,0,100352,A00_not_bit_26,C04_or_09_04,0.11925176531076431
baseline,0,100352,A00_not_bit_26,C05_or_04_07,0.0822666734457016
baseline,0,100352,A00_not_bit_26,C06_and_05_09,0.16926786303520203
baseline,0,100352,A00_not_bit_26,C07_and_09_00,0.9178614616394043
baseline,0,100352,A00_not_bit_26,K00_shortcut_for_10_bit39,0.3523778021335602
baseline,0,100352,A00_not_bit_26,K01_shortcut_for_09_bit45,0.0670073926448822
baseline,0,100352,A00_not_bit_26,K02_shortcut_for_07_bit11,0.324989378452301
baseline,0,100352,A00_not_bit_26,K03_shortcut_for_07_bit23,0.051334187388420105
baseline,0,100352,A00_not_bit_26,S00_surface_xor_12_45,0.2692601680755615
baseline,0,100352,A00_not_bit_26,S01_surface_xor_25_7,0.29157933592796326
baseline,0,100352,A00_not_bit_26,S02_surface_xor_35_38,0.22831258177757263
baseline,0,100352,A00_not_bit_26,S03_surface_xor_28_44,0.36086681485176086
baseline,0,100352,A00_not_bit_26,U00_xor2_35_7,0.24763897061347961
baseline,0,100352,A00_not_bit_26,U01_eq2_3_23,0.3496580421924591
baseline,0,100352,A00_not_bit_26,U02_and_bits_10_16,0.06377333402633667
baseline,0,100352,A00_not_bit_26,U03_xor2_36_26,0.39095237851142883
baseline,0,100352,A01_xor2_40_1,A00_not_bit_26,0.26315927505493164
baseline,0,100352,A01_xor2_40_1,A01_xor2_40_1,1.0
baseline,0,100352,A01_xor2_40_1,A02_bit_1,0.5371964573860168
baseline,0,100352,A01_xor2_40_1,A03_and_bits_23_25,0.36577266454696655
baseline,0,100352,A01_xor2_40_1,A04_not_bit_0,0.2972618639469147
baseline,0,100352,A01_xor2_40_1,A05_and_bits_5_25,0.3492509126663208
baseline,0,100352,A01_xor2_40_1,A06_and_bits_18_35,0.11512525379657745
baseline,0,100352,A01_xor2_40_1,A07_and_bits_46_18,0.253282755613327
baseline,0,100352,A01_xor2_40_1,A08_not_bit_40,0.5882091522216797
baseline,0,100352,A01_xor2_40_1,A09_xor2_42_32,0.8613593578338623
baseline,0,100352,A01_xor2_40_1,A10_xor2_25_39,0.8064928650856018
baseline,0,100352,A01_xor2_40_1,A11_xor2_14_34,0.8291242122650146
baseline,0,100352,A01_xor2_40_1,C00_or_04_01,0.6093174815177917
baseline,0,100352,A01_xor2_40_1,C01_or_09_02,0.6808647513389587
baseline,0,100352,A01_xor2_40_1,C02_and_05_09,0.3496542274951935
baseline,0,100352,A01_xor2_40_1,C03_and_04_05,0.3405124843120575
baseline,0,100352,A01_xor2_40_1,C04_or_09_04,0.5900418162345886
baseline,0,100352,A01_xor2_40_1,C05_or_04_07,0.434557169675827
baseline,0,100352,A01_xor2_40_1,C06_and_05_09,0.3634990453720093
baseline,0,100352,A01_xor2_40_1,C07_and_09_00,0.293134868144989
baseline,0,100352,A01_xor2_40_1,K00_shortcut_for_10_bit39,0.6158763766288757
baseline,0,100352,A01_xor2_40_1,K01_shortcut_for_09_bit45,0.1477331966161728
baseline,0,100352,A01_xor2_40_1,K02_shortcut_for_07_bit11,0.6746315360069275
baseline,0,100352,A01_xor2_40_1,K03_shortcut_for_07_bit23,0.16349239647388458
baseline,0,100352,A01_xor2_40_1,S00_surface_xor_12_45,0.8488357067108154
baseline,0,100352,A01_xor2_40_1,S01_surface_xor_25_7,0.8179154992103577
baseline,0,100352,A01_xor2_40_1,S02_surface_xor_35_38,0.8075478076934814
baseline,0,100352,A01_xor2_40_1,S03_surface_xor_28_44,0.824011504650116
baseline,0,100352,A01_xor2_40_1,U00_xor2_35_7,0.8331364989280701
baseline,0,100352,A01_xor2_40_1,U01_eq2_3_23,0.7924037575721741
baseline,0,100352,A01_xor2_40_1,U02_and_bits_10_16,0.1391688585281372
baseline,0,100352,A01_xor2_40_1,U03_xor2_36_26,0.7759310007095337
baseline,0,100352,A02_bit_1,A00_not_bit_26,0.22237609326839447
