condition,seed,target_task,source_role,source_task,grad_cosine,linear_cka
baseline,0,C02_and_05_09,component,A05_and_bits_5_25,0.2310199086334124,0.9696462154388428
baseline,0,C02_and_05_09,control,U02_and_bits_10_16,0.2689692744365905,0.1495581716299057
baseline,0,C02_and_05_09,control,K01_shortcut_for_09_bit45,0.0879205830559138,0.1009650528430938
baseline,0,C02_and_05_09,control,S00_surface_xor_12_45,0.3083062578718153,0.3909279108047485
baseline,0,C03_and_04_05,component,A05_and_bits_5_25,0.2961298162291491,0.8689359426498413
baseline,0,C03_and_04_05,control,U02_and_bits_10_16,-0.1015033562894876,0.1441610753536224
baseline,0,C03_and_04_05,control,K01_shortcut_for_09_bit45,0.1914417226624775,0.0853287503123283
baseline,0,C03_and_04_05,control,S00_surface_xor_12_45,-0.0900029339889644,0.3597344160079956
baseline,0,C06_and_05_09,component,A05_and_bits_5_25,0.2023953140477332,0.9653018116950988
baseline,0,C06_and_05_09,control,U02_and_bits_10_16,0.1041206503337573,0.1709706336259842
baseline,0,C06_and_05_09,control,K01_shortcut_for_09_bit45,0.1095923593161067,0.1025090962648391
baseline,0,C06_and_05_09,control,S00_surface_xor_12_45,0.0703254991118271,0.4019618928432464
baseline,1,C02_and_05_09,component,A05_and_bits_5_25,0.7948804802330891,0.984607994556427
baseline,1,C02_and_05_09,control,U02_and_bits_10_16,0.5854036095480347,0.1685027629137039
baseline,1,C02_and_05_09,control,K01_shortcut_for_09_bit45,-0.4572480588709159,0.1087400242686271
baseline,1,C02_and_05_09,control,S00_surface_xor_12_45,0.4668735935118391,0.2417674213647842
baseline,1,C03_and_04_05,component,A05_and_bits_5_25,0.7131752409277404,0.8918904066085815
baseline,1,C03_and_04_05,control,U02_and_bits_10_16,0.5373408843508178,0.1365917325019836
baseline,1,C03_and_04_05,control,K01_shortcut_for_09_bit45,-0.4239813445387001,0.0984502285718917
baseline,1,C03_and_04_05,control,S00_surface_xor_12_45,0.3174728528695318,0.2532289922237396
baseline,1,C06_and_05_09,component,A05_and_bits_5_25,0.256764825328006,0.976235330104828
baseline,1,C06_and_05_09,control,U02_and_bits_10_16,0.0943165230941129,0.1761838346719741
baseline,1,C06_and_05_09,control,K01_shortcut_for_09_bit45,-0.1467896155821632,0.1089624762535095
baseline,1,C06_and_05_09,control,S00_surface_xor_12_45,0.1293967261570691,0.2440415024757385
baseline,2,C02_and_05_09,component,A05_and_bits_5_25,0.80279315518069,0.9792054891586304
baseline,2,C02_and_05_09,control,U02_and_bits_10_16,0.589589674228922,0.1299519687891006
baseline,2,C02_and_05_09,control,K01_shortcut_for_09_bit45,0.5326041435923412,0.0996860712766647
baseline,2,C02_and_05_09,control,S00_surface_xor_12_45,0.6408940991314845,0.1801874637603759
baseline,2,C03_and_04_05,component,A05_and_bits_5_25,0.7620896752410082,0.8710123300552368
baseline,2,C03_and_04_05,control,U02_and_bits_10_16,0.5763530391485031,0.0928710103034973
baseline,2,C03_and_04_05,control,K01_shortcut_for_09_bit45,0.5233282152943741,0.0749671012163162
baseline,2,C03_and_04_05,control,S00_surface_xor_12_45,0.5537219671159483,0.1678894311189651
baseline,2,C06_and_05_09,component,A05_and_bits_5_25,0.8345392809314843,0.9733703136444092
baseline,2,C06_and_05_09,control,U02_and_bits_10_16,0.5944974045128075,0.1346746981143951
baseline,2,C06_and_05_09,control,K01_shortcut_for_09_bit45,0.5626574418576961,0.1039099618792533
baseline,2,C06_and_05_09,control,S00_surface_xor_12_45,0.6815915658926013,0.2190196067094802
baseline,3,C02_and_05_09,component,A05_and_bits_5_25,0.8362504604221287,0.9709267020225524
baseline,3,C02_and_05_09,control,U02_and_bits_10_16,0.5298172915576751,0.0812167897820472
baseline,3,C02_and_05_09,control,K01_shortcut_for_09_bit45,0.5010229543684561,0.0892632231116294
baseline,3,C02_and_05_09,control,S00_surface_xor_12_45,0.4118650418309785,0.1840013265609741
baseline,3,C03_and_04_05,component,A05_and_bits_5_25,0.8297341194004099,0.8770444989204407
baseline,3,C03_and_04_05,control,U02_and_bits_10_16,0.5263161653309756,0.0623548403382301
baseline,3,C03_and_04_05,control,K01_shortcut_for_09_bit45,0.5499823547764895,0.0530859492719173
baseline,3,C03_and_04_05,control,S00_surface_xor_12_45,0.3829079151387075,0.1582041531801223
baseline,3,C06_and_05_09,component,A05_and_bits_5_25,0.7798006609891326,0.9581981897354126
baseline,3,C06_and_05_09,control,U02_and_bits_10_16,0.5300563187702094,0.0823892280459404
baseline,3,C06_and_05_09,control,K01_shortcut_for_09_bit45,0.5190070120186983,0.1113230288028717
baseline,3,C06_and_05_09,control,S00_surface_xor_12_45,0.4065176998065244,0.2111507356166839
baseline,4,C02_and_05_09,component,A05_and_bits_5_25,0.7525313646428093,0.9669354557991028
baseline,4,C02_and_05_09,control,U02_and_bits_10_16,-0.5097342566407747,0.1450426131486892
baseline,4,C02_and_05_09,control,K01_shortcut_for_09_bit45,-0.4873077410214881,0.0802811831235885
baseline,4,C02_and_05_09,control,S00_surface_xor_12_45,0.1585656615684208,0.2066701203584671
baseline,4,C03_and_04_05,component,A05_and_bits_5_25,0.7161267981192441,0.8945976495742798
baseline,4,C03_and_04_05,control,U02_and_bits_10_16,-0.4961259698522067,0.1110700145363807
baseline,4,C03_and_04_05,control,K01_shortcut_for_09_bit45,-0.4145648029117275,0.0585332065820694
baseline,4,C03_and_04_05,control,S00_surface_xor_12_45,0.065617112982852,0.1629037708044052
baseline,4,C06_and_05_09,component,A05_and_bits_5_25,0.7897911717452021,0.960122287273407
baseline,4,C06_and_05_09,control,U02_and_bits_10_16,-0.5557775274435627,0.1664972752332687
baseline,4,C06_and_05_09,control,K01_shortcut_for_09_bit45,-0.5621879362653931,0.0836760103702545
baseline,4,C06_and_05_09,control,S00_surface_xor_12_45,0.1535295393903681,0.229796290397644
baseline,0,C02_and_05_09,component_minus_controls,component_minus_mean_controls,0.00928787017863919,0.7558291703462601
baseline,0,C03_and_04_05,component_minus_controls,component_minus_mean_controls,0.29615133876780725,0.6725278620918592
baseline,0,C06_and_05_09,component_minus_controls,component_minus_mean_controls,0.10771581112716949,0.7401546041170756
baseline,1,C02_and_05_09,component_minus_controls,component_minus_mean_controls,0.5965374321701031,0.8116045917073886
baseline,1,C03_and_04_05,component_minus_controls,component_minus_mean_controls,0.5695644433671906,0.7291334221760433
baseline,1,C06_and_05_09,component_minus_controls,component_minus_mean_controls,0.2311236141049997,0.7998393923044206
baseline,2,C02_and_05_09,component_minus_controls,component_minus_mean_controls,0.21509718286310753,0.84259698788325
baseline,2,C03_and_04_05,component_minus_controls,component_minus_mean_controls,0.21095526805473297,0.7591031491756439
baseline,2,C06_and_05_09,component_minus_controls,component_minus_mean_controls,0.22162381017711597,0.8208355580766996
baseline,3,C02_and_05_09,component_minus_controls,component_minus_mean_controls,0.3553486978364254,0.8527662555376688
baseline,3,C03_and_04_05,component_minus_controls,component_minus_mean_controls,0.3433319743183524,0.7858295179903507
baseline,3,C06_and_05_09,component_minus_controls,component_minus_mean_controls,0.2946069841239886,0.8232438589135807
baseline,4,C02_and_05_09,component_minus_controls,component_minus_mean_controls,1.0320234766740901,0.8229374835888545
baseline,4,C03_and_04_05,component_minus_controls,component_minus_mean_controls,0.9978180180462715,0.7837619855999947
baseline,4,C06_and_05_09,component_minus_controls,component_minus_mean_controls,1.1112698131847314,0.8001324286063513
