pair_id,pair_index,source_task,target_task,pair_type,filler_task,source_kind,target_kind,source_op,target_op,source_frequency,target_frequency,source_reference_learnability,target_reference_learnability,surface_overlap_proxy,formal_relation
P000_A05_substitute__to__C05_copy_then_substitute_05_07,0,A05_substitute,C05_copy_then_substitute_05_07,component_to_composite,K00_shortcut_for_A00_copy,atomic,composite,substitute,copy_then_substitute,0.0532697129811279,0.0168074968813639,1.5,3.0,0.1428571428571428,source_is_target_component
P001_C03_reverse_then_substitute_01_06__to__A06_copy,1,C03_reverse_then_substitute_01_06,A06_copy,composite_to_component_reverse,S00_surface_rotate,composite,atomic,reverse_then_substitute,copy,0.0232775110742559,0.0212450889131437,3.0,1.0,0.0,target_is_source_component
P002_U00_unrelated_substitute__to__A02_substitute,2,U00_unrelated_substitute,A02_substitute,control_or_surface,K01_shortcut_for_A06_copy,unrelated,atomic,substitute,substitute,0.2886681449537463,0.1394175241070834,1.5,1.5,0.25,same_operation
P003_A06_copy__to__A00_copy,3,A06_copy,A00_copy,same_operation,U03_unrelated_substitute,atomic,atomic,copy,copy,0.0212450889131437,0.013879145574866,1.0,1.0,0.3333333333333333,same_operation
P004_A00_copy__to__A06_copy,4,A00_copy,A06_copy,same_operation_reverse,U01_unrelated_substitute,atomic,atomic,copy,copy,0.013879145574866,0.0212450889131437,1.0,1.0,0.3333333333333333,same_operation
P005_U02_unrelated_substitute__to__S00_surface_rotate,5,U02_unrelated_substitute,S00_surface_rotate,unrelated_matched,K00_shortcut_for_A00_copy,unrelated,surface_control,substitute,surface_rotate,0.0287371851730942,0.0257275754999354,1.5,2.0,0.0,none
P006_A01_reverse__to__C00_reverse_then_substitute_01_06,6,A01_reverse,C00_reverse_then_substitute_01_06,component_to_composite,U03_unrelated_substitute,atomic,composite,reverse,reverse_then_substitute,0.0180702609375255,0.0112422967967871,2.0,3.0,0.1428571428571428,source_is_target_component
P007_C00_reverse_then_substitute_01_06__to__A01_reverse,7,C00_reverse_then_substitute_01_06,A01_reverse,composite_to_component_reverse,U01_unrelated_substitute,composite,atomic,reverse_then_substitute,reverse,0.0112422967967871,0.0180702609375255,3.0,2.0,0.1428571428571428,target_is_source_component
P008_S00_surface_rotate__to__A04_reverse,8,S00_surface_rotate,A04_reverse,control_or_surface,U02_unrelated_substitute,surface_control,atomic,surface_rotate,reverse,0.0257275754999354,0.0325202873975717,2.0,2.0,0.0,none
P009_A07_reverse__to__A04_reverse,9,A07_reverse,A04_reverse,same_operation,S01_surface_rotate,atomic,atomic,reverse,reverse,0.0131131666449186,0.0325202873975717,2.0,2.0,0.3333333333333333,same_operation
P010_A05_substitute__to__A02_substitute,10,A05_substitute,A02_substitute,same_operation_reverse,K00_shortcut_for_A00_copy,atomic,atomic,substitute,substitute,0.0532697129811279,0.1394175241070834,1.5,1.5,0.3333333333333333,same_operation
P011_A06_copy__to__C03_reverse_then_substitute_01_06,11,A06_copy,C03_reverse_then_substitute_01_06,component_to_composite,U03_unrelated_substitute,atomic,composite,copy,reverse_then_substitute,0.0212450889131437,0.0232775110742559,1.0,3.0,0.0,source_is_target_component
